cargo,numero,nome_urna,partido,impedimento,tem_foto
presidente,13,"LULA",PT,"",sim
presidente,14,"RENAN SANTOS",MISSÃO,"",sim
presidente,16,"HERTZ DIAS",PSTU,"",sim
presidente,21,"EDMILSON COSTA",PCB,"",sim
presidente,22,"FLAVIO BOLSONARO",PL,"",sim
presidente,27,"CLARIANA BARAO",DC,"",sim
presidente,28,"PABLO MARÇAL",PRTB,"",sim
presidente,29,"RUI COSTA PIMENTA",PCO,"",sim
presidente,30,"ZEMA",NOVO,"",sim
presidente,35,"VETERINÁRIO WILSON GRASSI",DEMOCRATA,"",nao
presidente,55,"RONALDO CAIADO",PSD,"",sim
presidente,70,"ESCRITOR AUGUSTO CURY",AVANTE,"",sim
presidente,80,"SAMARA",UP,"",sim
governador,10,"VALMIR DE FRANCISQUINHO",REPUBLICANOS,"",nao
governador,22,"RICARDO MARQUES",PL,"",nao
governador,27,"TATY  CRISTINA DE JESUS",DC,"",nao
governador,45,"EMANUEL CACHO",PSDB,"",nao
governador,50,"DR. HELTON",PSOL,"",nao
governador,55,"FÁBIO",PSD,"",sim
senador,100,"EDUARDO AMORIM",REPUBLICANOS,"",sim
senador,101,"DELEGADO ANDRÉ DAVID",REPUBLICANOS,"",nao
senador,123,"EDVALDO",PDT,"",sim
senador,131,"ROGERIO CARVALHO",PT,"",sim
senador,155,"DELEGADO ALESSANDRO",MDB,"",sim
senador,221,"CORONEL ROCHA",PL,"",nao
senador,222,"RODRIGO VALADARES",PL,"",sim
senador,270,"PAULINHO DA UNIÃO TUR",DC,"",nao
senador,277,"RENATINHA",DC,"",sim
senador,444,"ANDRÉ MOURA",UNIÃO,"",sim
senador,500,"IRAN BARBOSA",PSOL,"",nao
federal,1000,"ICARO DE VALMIR",REPUBLICANOS,"",sim
federal,1010,"PASTOR HELENO",REPUBLICANOS,"",nao
federal,1011,"THIAGO DE JOALDO",REPUBLICANOS,"",nao
federal,1012,"GRACINHA GARCEZ",REPUBLICANOS,"",nao
federal,1023,"MISSIONÁRIA GISELE",REPUBLICANOS,"",nao
federal,1026,"EMANUELLY HORA",REPUBLICANOS,"",nao
federal,1033,"JORNALISTA SUSANE VIDAL",REPUBLICANOS,"",nao
federal,1044,"ALBERTO MACEDO",REPUBLICANOS,"",nao
federal,1077,"DRA. CLÉCIA",REPUBLICANOS,"",sim
federal,1111,"LEVI OLIVEIRA",PP,"",sim
federal,1112,"FIOTE",PP,"",nao
federal,1133,"GEDALVA UMBAUBÁ",PP,"",nao
